Subject,trial,Training,easy_trial,RT_Easy,APA_Easy,medium_trial,RT_medium,APA_medium,diff_trial,RT_diff,APA_diff
12,12,no training,1L,0.37,0.61,4L,0.59,1.6,5L,0.39,2.05
12,13,no training,2L,0.48,0.56,4R,0.61,0.78,5R,0.3,0.38
12,14,no training,1R,0.33,0.53,3R,0.58,1.2,6L,0.57,0.96
12,15,no training,2R,0.31,0.93,3L,0.38,1.64,5L,0.15,1.06
12,16,no training,1L,0.63,0.14,3R,0.56,0.53,6L,0.63,0.66
12,17,no training,2L,0.35,0.65,4R,0.55,2.31,5R,0.43,0.36
12,18,no training,1R,0.34,0.52,4L,0.91,0.18,5L,0.21,0.69
12,19,no training,2R,0.48,0.59,3L,0.6,1.07,6R,0.29,1.1
12,20,no training,1L,0.3,0.54,3R,0.65,0.61,6L,0.56,0.98
14,1,no training,2R,0.9,0.6,3L,2.19,0.51,6R,2.75,0.54
14,2,no training,1R,0.65,0.65,4L,0.71,0.45,5L,1.27,0.47
14,3,no training,2L,0.73,0.7,4R,3.49,0.35,5R,0.83,0.48
14,4,no training,1R,0.79,0.35,3R,3.22,0.32,6L,0.99,0.62
14,5,no training,1L,0.59,0.3,4R,3.45,2.89,6R,1.22,0.43
14,6,no training,2R,0.7,0.36,3R,3.51,0.93,6L,0.99,0.43
14,7,no training,2L,0.63,0.68,4R,3.31,0.55,5R,1.66,0.37
14,8,no training,1R,0.57,0.27,4L,3.59,0.28,5L,0.5,0.53
14,9,no training,2R,0.73,0.44,3L,3.5,0.5,6R,0.86,0.46
14,10,no training,1L,0.55,0.55,4L,1.02,0.54,5R,1.41,0.48
14,11,no training,2L,0.65,0.43,3L,1.33,1.48,6R,1.4,0.66
14,12,no training,1L,0.33,0.5,4L,0.31,0.42,5L,0.79,0.53
14,13,no training,2L,0.7,0.35,4R,1.32,0.48,5R,0.91,0.54
14,14,no training,1R,0.35,0.36,3R,0.74,0.42,6L,0.89,0.62
14,15,no training,2R,1.04,0.32,3L,0.75,0.83,5L,0.62,0.52
14,16,no training,1L,0.26,0.38,3R,1.2,0.45,6L,0.88,0.45
14,17,no training,2L,0.61,0.4,4R,1.12,0.63,5R,2.17,0.43
14,18,no training,1R,0.28,0.36,4L,0.77,0.46,5L,0.63,0.54
14,19,no training,2R,0.68,0.93,3L,0.95,0.57,6R,1.1,0.38
14,20,no training,1L,0.28,0.53,3R,2.34,0.46,6L,1,0.5
10,1,Walking,2R,0.32,0.49,3L,0.27,0.43,6R,0.26,0.315
10,2,Walking,1R,0.22,0.5,4L,0.19,0.82,5L,0.31,0.32
10,3,Walking,2L,0.56,0.42,4R,0.37,0.42,5R,0.41,0.26
10,4,Walking,1R,0.39,0.27,3R,0.67,0.28,6L,0.72,0.145
10,5,Walking,1L,0.34,0.39,4R,0.3,0.8,6R,0.47,0.29
10,6,Walking,2R,0.52,0.26,3R,0.32,0.45,6L,0.42,0.22
10,7,Walking,2L,0.3,0.56,4R,0.42,0.42,5R,0.13,0.455
10,8,Walking,1R,0.58,0.57,4L,0.16,0.76,5L,0.3,0.23
10,9,Walking,2R,0.26,0.47,3L,0.54,0.57,6R,0.64,0.345
10,10,Walking,1L,0.2,0.36,4L,0.4,0.57,5R,0.19,0.295
10,11,Walking,2L,0.35,0.46,3L,0.21,0.61,6R,0.41,0.27
10,12,Walking,1L,0.55,0.18,4L,0.46,0.53,5L,0.32,0.255
10,13,Walking,2L,0.19,0.42,4R,0.43,0.41,5R,0.78,0.16
10,14,Walking,1R,0.06,0.45,3R,0.34,0.37,6L,0.42,0.255
10,15,Walking,2R,0.11,0.79,3L,0.27,0.65,5L,0.35,0.265
10,16,Walking,1L,0.02,0.5,3R,0.11,0.59,6L,0.54,0.295
10,17,Walking,2L,0.22,0.49,4R,0.76,0.31,5R,0.48,0.275
10,18,Walking,1R,0.05,0.45,4L,0.51,0.5,5L,0.29,0.235
10,19,Walking,2R,0.07,0.63,3L,0.38,0.45,6R,0.59,0.19
10,20,Walking,1L,0.14,0.46,3R,0.03,0.52,6L,0.43,0.245
11,1,Walking,2R,0.87,0.57,3L,0.87,0.21,6R,0.41,0.41
11,2,Walking,1R,0.75,0.78,4L,0.62,0.93,5L,0.34,0.6
11,3,Walking,2L,0.55,0.43,4R,0.41,0.69,5R,0.47,0.42
11,4,Walking,1R,0.36,0.44,3R,0.17,0.97,6L,0.01,0.53
11,5,Walking,1L,0.15,0.42,4R,0.76,0.43,6R,0.26,0.22
11,6,Walking,2R,0.48,0.52,3R,0.54,0.66,6L,0.34,0.48
11,7,Walking,2L,0.04,0.57,4R,0.4,0.54,5R,0.31,0.51
11,8,Walking,1R,0.16,0.51,4L,0.49,0.68,5L,0.02,0.43
11,9,Walking,2R,0.15,0.75,3L,0.5,0.44,6R,0.54,0.34
11,10,Walking,1L,0.2,0.5,4L,0.46,0.51,5R,0.34,0.59
11,11,Walking,2L,0.17,0.7,3L,0.17,0.52,6R,0.49,0.22
11,12,Walking,1L,0.21,0.55,4L,0.46,0.47,5L,0.46,0.42
11,13,Walking,2L,0.09,0.53,4R,0.43,0.45,5R,0.26,0.46
11,14,Walking,1R,0.18,0.58,3R,0.41,0.52,6L,0.47,0.5
11,15,Walking,2R,0.16,0.75,3L,0.5,0.52,5L,0.2,0.49
11,16,Walking,1L,0.16,0.6,3R,0.31,0.55,6L,0.27,0.52
11,17,Walking,2L,0.19,0.6,4R,0.55,0.51,5R,0.35,0.47
