Subject,RT_Easy,APA_Easy,RT_medium,APA_medium,RT_diff,APA_diff,NMT_easy,NMT_medium,NMT_difficult,Training
11,0.19,0.6,0.55,0.51,0.35,0.47,0.56555,0.592,0.586,Walking
11,0.23,0.74,0.37,0.53,0.57,0.22,0.6664,0.635625,0.5128,Walking
11,0.23,0.57,0.34,0.53,0.59,0.54,0.56685,0.621666667,0.727066667,Walking
11,0.08,0.57,0.38,0.42,0.25,0.55,0.7001,0.661466667,0.6,Walking
3,0.26,0.48,0.55,0.33,1.4,0.24,0.72505,0.687743333,0.47695,Walking
3,0.22,0.32,0.73,0.33,1.19,0.35,0.6706,0.6465225,0.51418,Walking
3,0.19,0.37,0.69,0.33,1.23,0.54,0.57565,0.6284525,0.52,Walking
3,0.23,0.57,0.34,0.41,1.46,0.48,0.601,0.66391,0.492666667,Walking
3,0.26,0.41,0.95,0.36,1.45,0.22,0.7346,0.6435,0.509733333,Walking
3,0.5,0.35,0.44,0.49,1.12,0.52,0.6291,0.678643333,0.516066667,Walking
3,0.25,0.4,0.58,0.41,1.13,0.3,0.55965,0.671515,0.50064,Walking
3,0.11,0.36,0.78,0.37,1.3,0.49,0.6725,0.6488625,0.51486,Walking
3,0.48,0.34,0.41,0.39,1.44,0.32,0.54905,0.65793,0.498133333,Walking
3,0.16,0.3,0.86,0.33,1.17,0.23,0.57855,0.6526325,0.49916,Walking
3,0.21,0.33,0.57,0.35,1.44,0.17,0.59925,0.672273333,0.51,Walking
3,0.16,0.44,0.79,0.4,1.4,0.24,0.6545,0.6430775,0.52014,Walking
3,0.22,0.42,0.96,0.34,1.09,0.26,0.58935,0.6705075,0.48122,Walking
3,0.11,0.34,0.33,0.39,1.48,0.24,0.6325,0.677256667,0.493333333,Walking
3,0.46,0.37,0.33,0.44,0.92,0.38,0.5998,0.695976667,0.482,Walking
3,0.22,0.25,0.31,0.35,1.4,0.3,0.646,0.67249,0.49,Walking
3,0.4,0.38,0.8,0.37,1.31,0.36,0.542,0.66001,0.506,Walking
3,0.1,0.34,0.7,0.34,1.16,0.24,0.596,0.655915,0.504,Walking
3,0.24,0.42,0.36,0.4,1.55,0.31,0.53105,0.702996667,0.489366667,Walking
3,0,0.3,0.57,0.35,1.2,0.58,0.599,0.668676667,0.488333333,Walking
13,1.16,0.43,0.93,0.4,0.77,0.17,0.675933333,0.617411111,0.604477778,Walking
13,0.3,0.51,0.65,0.43,0.26,0.34,0.668766667,0.636191667,0.622046667,Walking
13,0.97,0.45,0.44,0.32,0.32,0.45,0.604366667,0.627225,0.673333333,Walking
13,0.3,0.4,0.51,0.38,0.42,0.45,0.678033333,0.618288889,0.619455556,Walking
13,0.41,0.29,0.63,0.42,0.27,0.42,0.724333333,0.629883333,0.604161111,Walking
13,0.91,0.3,0.22,0.42,0.33,0.4,0.666633333,0.614,0.593972222,Walking
13,0.73,0.3,0.53,0.25,0.08,0.4,0.5825,0.67145,0.58806,Walking
13,0.21,0.32,0.61,0.62,0.94,0.21,0.680033333,0.614316667,0.612606667,Walking
13,0.6,0.36,0.39,0.48,0.4,0.35,0.59965,0.593466667,0.578105556,Walking
13,0.33,0.37,0.59,0.56,0.23,0.43,0.618733333,0.605991667,0.62372,Walking
13,0.56,0.32,0.62,0.32,0.3,0.38,0.603883333,0.600011111,0.626216667,Walking
13,0.21,0.45,0.95,0.35,0.16,0.43,0.6629,0.589033333,0.61358,Walking
13,0.6,0.4,0.31,0.46,0.33,0.4,0.602716667,0.679683333,0.582406667,Walking
13,0.35,0.39,0.5,0.3,0.28,0.46,0.668366667,0.610155556,0.614305556,Walking
13,0.51,0.42,0.33,0.39,0.24,0.45,0.625983333,0.607966667,0.571606667,Walking
13,0.25,0.43,0.43,0.39,0.46,0.36,0.673833333,0.598866667,0.621666667,Walking
13,0.59,0.34,0.7,0.33,0.34,0.36,0.597016667,0.583058333,0.57056,Walking
13,0.23,0.39,0.49,0.39,0.13,0.47,0.6389,0.599975,0.564266667,Walking
13,0.6,0.46,0.51,0.44,0.41,0.45,0.595483333,0.605344444,0.623811111,Walking
13,0.23,0.41,0.23,0.42,0.45,0.44,0.6554,0.6215,0.58,Walking
20,0.33,0.48,0.61,0.29,0.26,0.47,0.7158,0.743466667,0.698333333,notraining
20,0.36,0.44,0.46,0.45,0.37,0.45,0.701,0.72455,0.7,notraining
20,0.34,0.46,1.13,0.57,0.48,0.33,0.6987,0.72605,0.692,notraining
20,0.2,0.45,0.21,0.49,0.48,0.53,0.7,0.73,0.675383333,notraining
20,0.61,0.21,0.36,0.37,0.37,0.35,0.704,0.6915,0.669745833,notraining
20,0.2,0.48,0.65,0.43,0.71,0.45,0.6995,0.724133333,0.675166667,notraining
20,0.36,0.52,0.65,0.43,0.35,0.46,0.73075,0.7593,0.72528,notraining
20,0.2,0.23,0.48,0.61,0.32,0.45,0.6274,0.7389,0.65004,notraining
20,0.2,0.23,0.42,0.47,0.43,0.38,0.7227,0.767566667,0.716533333,notraining
20,0.2,0.23,0.19,0.53,0.25,0.46,0.715,0.75,0.6678,notraining
20,0.51,0.38,0.36,0.45,0.38,0.4,0.715,0.7419,0.666666667,notraining
20,0.24,0.44,0.38,0.44,0.49,0.33,0.6663,0.71715,0.8106,notraining
20,0.24,0.44,0.36,0.45,0.19,0.57,0.75,0.7076,0.67868,notraining
20,0.24,0.44,0.17,0.58,0.7,0.44,0.7418,0.733166667,0.683483333,notraining
20,0.25,0.5,0.19,0.43,0.17,0.44,0.7416,0.7456,0.68362,notraining
20,0.55,0.33,0.1,0.54,0.59,0.52,0.698,0.7107,0.576,notraining
20,0.4,0.67,0.17,0.44,0.24,0.39,0.71515,0.7414,0.7168,notraining
20,0.56,0.41,0.34,0.5,0.53,0.31,1.4973,0.74125,0.67528,notraining
20,0.39,0.5,0.68,0.39,0.23,0.45,0.72045,0.732533333,0.59745,notraining
20,0.39,0.5,0.15,0.43,0.48,0.46,0.7037,0.722666667,0.6745,notraining
2,0.07,0.57,0.21,0.62,0.34,0.99,0.6673,0.655533333,0.730283333,notraining
2,0.33,0.35,0.35,0.5,0.93,0.84,0.6663,0.69565,0.71624,notraining
2,0.08,0.41,0.03,0.45,2,1.1,0.7136,0.74195,0.6137,notraining
2,0.26,0.27,0.01,0.44,1.01,1.12,0.6986,0.677066667,0.665916667,notraining
2,0.11,0.44,0.2,1.3,0,0.38,0.7006,0.708525,0.677966667,notraining
2,0.34,0.41,0,0.3,0.01,0.47,0.6622,0.6556,0.627633333,notraining
2,0.03,0.62,0.03,0.46,0.85,1.31,0.6319,0.741875,0.55896,notraining
2,0,0.23,0,0.39,0.01,0.38,0.6727,0.634225,0.61338,notraining
2,0.17,1.61,0,0.4,0.06,0.22,0.61705,0.722466667,0.762683333,notraining
2,0.13,0.34,0,0.41,0,0.56,0.6531,0.709225,0.66902,notraining
2,0.07,0.55,0.05,0.46,0.01,0.38,0.7122,0.689266667,0.62885,notraining
2,0.25,0.37,0.06,0.43,0.25,1.81,0.6672,0.6965,0.6137,notraining
2,0.03,0.43,0.2,0.19,0.18,0.6,0.7276,0.73365,0.64016,notraining
2,0.39,0.19,0,0.38,0,0.25,0.693,0.679033333,0.6127,notraining
2,0.05,0.58,0,0.33,0,0.35,0.69985,0.622633333,0.73908,notraining
2,0.12,0.33,0.04,0.37,0,0.35,0.7008,0.6658,0.616766667,notraining
2,0.09,0.47,0.14,0.3,0.01,0.43,0.69245,0.65825,0.5973,notraining
2,0.2,0.28,0,0.34,0.01,0.34,0.6306,0.65085,0.5801,notraining
2,0.07,0.69,0.23,0.55,0.02,0.27,0.64975,0.654866667,0.599866667,notraining
2,0.12,0.34,0,0.3,0,0.26,0.6906,0.680233333,0.591166667,notraining
7,0.7,0.33,0.09,0.55,0.46,0.65,0.77386,0.711733333,0.729533333,notraining
7,1.05,1.37,0.28,1.59,0.13,0.47,0.6333,0.69435,0.75054,notraining
7,0.59,0.92,0.21,1.04,0.08,0.49,0.69955,0.71965,0.74192,notraining
7,0.53,0.5,0.16,0.49,0.12,0.51,0.676,0.728266667,0.74995,notraining
7,0.36,0.56,0.52,0.5,0.14,0.58,0.768,0.831,0.741683333,notraining
7,0.2,0.5,0.21,1.5,0.16,0.56,0.7284,0.745333333,0.75065,notraining
7,0.29,0.52,0.28,0.89,0.37,0.38,0.78455,0.7152,0.70948,notraining
7,0.34,0.47,0.11,0.57,0.01,0.54,0.733,0.684425,0.73426,notraining
7,0.26,0.52,0.33,0.63,0.31,0.44,0.71485,0.689633333,0.735608333,notraining
7,0.3,0.46,0.04,1.14,0.12,0.51,0.74105,0.7084,0.74164,notraining
7,0.12,0.49,0.5,0.61,0.24,0.62,0.732,0.6882,0.669566667,notraining
7,0.32,0.39,0.04,0.76,0.22,0.44,0.7317,0.723975,0.70108,notraining
7,0.08,0.52,0.12,0.9,0.08,0.52,0.74985,0.664425,0.70196,notraining
7,0.1,0.65,0.43,0.5,0.27,0.56,0.7001,0.7101,0.692433333,notraining
7,0.26,0.59,0.09,0.49,0.1,0.58,0.7671,0.6883,0.68758,notraining
7,0.14,0.5,0.21,0.46,0.27,0.56,0.7332,0.710466667,0.69205,notraining
7,0.16,0.48,0.06,0.5,0.15,0.48,0.76395,0.6913,0.68336,notraining
7,0.21,0.46,0.15,0.49,0.15,0.51,0.6981,0.673725,0.6949,notraining
7,0.03,0.52,0.21,0.48,0.09,0.53,0.7674,0.713666667,0.569533333,notraining
7,0.15,0.48,0.05,0.51,0.11,0.58,0.6665,0.7336,0.66815,notraining
9,0.99,0.43,2.26,0.42,2.79,0.75,0.7363,0.709066667,0.783233333,notraining
9,0.25,0.57,2.51,0.36,3.15,0.35,0.6343,0.725475,0.7554,notraining
9,0.21,1.01,2.33,0.18,2.03,0.4,0.68155,0.723625,0.8086,notraining
9,0.38,0.51,1.87,0.49,3.2,0.48,0.6299,0.6786,0.8192,notraining
9,0.2,0.46,0.78,1.73,3.01,0.57,0.6522,0.700025,0.795,notraining
9,0.5,0.5,1.72,0.49,2.09,1.04,0.7129,0.663333333,0.761733333,notraining
9,0.11,1.15,1.95,0.32,2.2,0.45,0.749,0.725275,0.79332,notraining
9,0.33,0.43,1.86,0.48,0.6,2.01,0.6727,0.725375,0.73946,notraining
9,0.14,0.78,1.43,1.04,3.16,0.51,0.7366,0.655666667,0.738933333,notraining
9,0.27,0.74,1.8,0.54,0.3,2.36,0.6962,0.706325,0.778,notraining
9,0.38,0.44,1.79,0.39,2.47,0.72,0.702,0.656233333,0.85725,notraining
9,0.33,0.38,1.85,0.83,2.31,1.36,0.6961,0.7166,0.832,notraining
9,0.27,0.57,1.7,0.95,0.56,2.71,0.62385,0.659575,0.88802,notraining
9,0.42,0.37,0.74,2.1,3.22,0.48,0.6519,0.639333333,0.781733333,notraining
9,0.46,0.37,0.17,0.4,2.5,0.56,0.71255,1.1236,0.72116,notraining
9,0.3,0.41,0.97,1.21,2.21,0.4,0.6981,0.666266667,0.743983333,notraining
9,0.27,0.59,1.95,0.37,0.78,2.01,0.7218,0.6913,0.7674,notraining
9,0.23,0.57,1.96,0.87,2.49,0.48,0.6381,0.698525,0.78658,notraining
9,0.52,0.42,0.5,2.2,2.85,0.57,0.6564,0.655233333,0.828033333,notraining
9,0.31,0.36,0.66,1.32,2.53,0.63,0.6363,0.66,0.717383333,notraining
12,0.44,1.94,1.75,1.05,0.48,1.56,0.82575,0.7893,0.761533333,notraining
12,0.58,0.66,0.83,2.93,0.98,1.04,0.702,0.80125,0.70868,notraining
12,0.42,1.14,0.76,2.68,0.42,0.5,1.35035,0.82285,0.72438,notraining
12,0.66,0.53,1.74,0.66,0.7,0.65,0.6381,0.747233333,0.782683333,notraining
12,0.64,0.19,1.04,1.61,0.54,0.51,0.65,1.007875,0.773183333,notraining
12,0.43,0.73,0.7,0.6,0.43,1,0.686,0.766833333,0.717483333,notraining
12,0.51,0.14,0.91,1.83,0.68,0.19,0.74105,0.77745,0.70342,notraining
12,0.33,0.53,0.68,0.6,0.71,0.32,0.707,0.7252,0.82452,notraining
12,0.4,0.6,0.48,1.09,0.27,0.82,0.748,0.7942,0.738266667,notraining
12,0.32,0.53,0.46,1.14,0.64,0.43,0.74955,0.76265,0.75622,notraining
12,0.48,0.5,0.66,0.89,0.26,0.75,0.7452,0.816,0.686166667,notraining
12,0.37,0.61,0.59,1.6,0.39,2.05,0.623,0.76935,0.73344,notraining
12,0.48,0.56,0.61,0.78,0.3,0.38,0.7413,0.78155,0.74968,notraining
12,0.33,0.53,0.58,1.2,0.57,0.96,0.7291,0.789233333,0.711616667,notraining
12,0.31,0.93,0.38,1.64,0.15,1.06,0.78,0.733466667,0.7373,notraining
12,0.63,0.14,0.56,0.53,0.63,0.66,0.732,0.776133333,0.71525,notraining
12,0.35,0.65,0.55,2.31,0.43,0.36,0.7974,0.749075,0.68972,notraining
12,0.34,0.52,0.91,0.18,0.21,0.69,0.7106,0.749675,0.71176,notraining
12,0.48,0.59,0.6,1.07,0.29,1.1,0.7325,0.782566667,0.733116667,notraining
12,0.3,0.54,0.65,0.61,0.56,0.98,0.675,0.743666667,0.705,notraining
14,0.9,0.6,2.19,0.51,2.75,0.54,0.7508025,0.716408333,0.751145833,notraining
14,0.65,0.65,0.71,0.45,1.27,0.47,0.658975,0.72918125,0.732715,notraining
14,0.73,0.7,3.49,0.35,0.83,0.48,0.8612625,0.75201875,0.72215,notraining
14,0.79,0.35,3.22,0.32,0.99,0.62,0.66065,0.707791667,0.7544375,notraining
